resampler,classifier,fold,macro_f1
svmsm,logreg,6,0.6527777777777778
svmsm,logreg,7,0.6253746253746254
svmsm,logreg,8,0.5862884160756501
svmsm,logreg,9,0.7359154929577465
svmsm,lsvc,0,0.8680555555555556
svmsm,lsvc,1,0.625615763546798
svmsm,lsvc,2,0.6253746253746254
svmsm,lsvc,3,0.7752247752247753
svmsm,lsvc,4,0.7752247752247753
svmsm,lsvc,5,0.892857142857143
svmsm,lsvc,6,0.4755244755244756
svmsm,lsvc,7,0.6038732394366197
svmsm,lsvc,8,0.5862884160756501
svmsm,lsvc,9,0.8226950354609929
svmsm,nb,0,0.8680555555555556
svmsm,nb,1,0.7047397047397047
svmsm,nb,2,0.9408983451536643
svmsm,nb,3,0.892857142857143
svmsm,nb,4,0.8679577464788731
svmsm,nb,5,0.892857142857143
svmsm,nb,6,0.6038732394366197
svmsm,nb,7,0.5862884160756501
svmsm,nb,8,0.6566383257030739
svmsm,nb,9,0.9408983451536643
svmsm,rf,0,0.7753694581280788
svmsm,rf,1,0.4794520547945206
svmsm,rf,2,0.6253746253746254
svmsm,rf,3,0.7752247752247753
svmsm,rf,4,0.6527777777777778
svmsm,rf,5,0.9408983451536643
svmsm,rf,6,0.6253746253746254
svmsm,rf,7,0.6785714285714286
svmsm,rf,8,0.5862884160756501
svmsm,rf,9,0.7752247752247753
